"Repository","Code Module","Maintainability Index","Total Lines of Code","Comment-to-SLOC Ratio","Logical Lines of Code","Single Line Comments (Only #)","Source Lines of Code","Multi-Line Strings","Comments","Blank Lines"
"ansible","lib.ansible.module_utils.facts.network.darwin.py","80","49","95.00%","22","18","20","4","19","7"
"ansible","lib.ansible.module_utils.facts.network.dragonfly.py","100","33","155.55%","10","14","9","4","14","6"
"ansible","lib.ansible.module_utils.facts.network.netbsd.py","77","48","146.66%","16","22","15","4","22","7"
"ansible","lib.ansible.module_utils.facts.network.sunos.py","67","116","33.80%","74","23","71","6","24","16"
"ansible","lib.ansible.module_utils.facts.network.iscsi.py","77","69","64.00%","26","16","25","18","16","10"
"ansible","lib.ansible.module_utils.facts.system.ssh_pub_keys.py","88","52","72.00%","21","18","25","0","18","9"
"ansible","lib.ansible.module_utils.facts.system.distribution.py","27","622","17.66%","387","74","453","5","80","90"
"ansible","lib.ansible.module_utils.facts.system.selinux.py","78","91","35.71%","53","20","56","0","20","15"
"ansible","lib.ansible.module_utils.facts.system.chroot.py","82","35","19.04%","22","4","21","0","4","10"
"ansible","lib.ansible.module_utils.facts.system.pkg_mgr.py","68","144","41.57%","67","37","89","0","37","18"
"ansible","lib.ansible.module_utils.facts.system.local.py","74","90","38.88%","54","21","54","0","21","15"
"ansible","lib.ansible.module_utils.facts.system.user.py","100","50","53.84%","23","14","26","0","14","10"
"ansible","lib.ansible.module_utils.facts.system.caps.py","87","55","64.28%","27","18","28","0","18","9"
"ansible","lib.ansible.module_utils.facts.system.cmdline.py","89","56","48.27%","29","14","29","0","14","13"
"ansible","lib.ansible.module_utils.facts.system.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.facts.system.env.py","100","37","100.00%","14","14","14","0","14","9"
"ansible","lib.ansible.module_utils.facts.system.lsb.py","68","101","30.00%","59","18","60","0","18","23"
"ansible","lib.ansible.module_utils.facts.system.apparmor.py","100","39","100.00%","16","16","16","0","16","7"
"ansible","lib.ansible.module_utils.facts.system.dns.py","73","67","35.71%","42","15","42","0","15","10"
"ansible","lib.ansible.module_utils.facts.system.platform.py","72","95","29.50%","57","18","61","0","18","16"
"ansible","lib.ansible.module_utils.facts.system.python.py","100","60","41.66%","26","15","36","0","15","9"
"ansible","lib.ansible.module_utils.facts.system.date_time.py","85","59","50.00%","34","17","34","0","17","8"
"ansible","lib.ansible.module_utils.facts.system.fips.py","89","37","121.42%","14","17","14","0","17","6"
"ansible","lib.ansible.module_utils.facts.system.service_mgr.py","67","140","59.45%","70","44","74","0","44","22"
"ansible","lib.ansible.module_utils.facts.other.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.facts.other.facter.py","80","85","52.38%","40","22","42","0","22","21"
"ansible","lib.ansible.module_utils.facts.other.ohai.py","82","72","38.46%","38","16","39","0","15","17"
"ansible","lib.ansible.module_utils.facts.hardware.base.py","86","66","120.00%","20","29","25","0","30","12"
"ansible","lib.ansible.module_utils.facts.hardware.aix.py","54","241","15.18%","148","24","158","24","24","35"
"ansible","lib.ansible.module_utils.facts.hardware.freebsd.py","56","204","15.94%","129","21","138","13","22","32"
"ansible","lib.ansible.module_utils.facts.hardware.linux.py","17","742","10.88%","497","60","542","14","59","126"
"ansible","lib.ansible.module_utils.facts.hardware.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.facts.hardware.openbsd.py","68","170","38.29%","87","36","94","12","36","28"
"ansible","lib.ansible.module_utils.facts.hardware.hpux.py","59","165","16.96%","112","19","112","12","19","22"
"ansible","lib.ansible.module_utils.facts.hardware.hurd.py","100","53","60.86%","24","14","23","5","14","11"
"ansible","lib.ansible.module_utils.facts.hardware.darwin.py","73","100","29.09%","56","14","55","10","16","21"
"ansible","lib.ansible.module_utils.facts.hardware.dragonfly.py","100","26","214.28%","7","15","7","0","15","4"
"ansible","lib.ansible.module_utils.facts.hardware.netbsd.py","63","162","21.35%","98","22","103","11","22","26"
"ansible","lib.ansible.module_utils.facts.hardware.sunos.py","55","273","30.43%","155","49","161","7","49","56"
"ansible","lib.ansible.module_utils.facts.virtual.sysctl.py","75","68","36.36%","44","16","44","0","16","8"
"ansible","lib.ansible.module_utils.facts.virtual.base.py","85","70","76.92%","26","20","26","9","20","15"
"ansible","lib.ansible.module_utils.facts.virtual.freebsd.py","100","47","88.23%","18","15","17","5","15","10"
"ansible","lib.ansible.module_utils.facts.virtual.linux.py","45","260","13.82%","189","26","188","5","26","41"
"ansible","lib.ansible.module_utils.facts.virtual.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.facts.virtual.openbsd.py","91","64","60.71%","29","17","28","5","17","14"
"ansible","lib.ansible.module_utils.facts.virtual.hpux.py","80","62","41.17%","35","14","34","5","14","9"
"ansible","lib.ansible.module_utils.facts.virtual.dragonfly.py","100","25","250.00%","6","15","6","0","15","4"
"ansible","lib.ansible.module_utils.facts.virtual.netbsd.py","94","50","65.21%","23","15","23","0","15","12"
"ansible","lib.ansible.module_utils.facts.virtual.sunos.py","65","120","33.33%","76","25","75","6","25","14"
"ansible","lib.ansible.module_utils.powershell.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.aws.core.py","62","297","16.19%","134","23","142","70","23","62"
"ansible","lib.ansible.module_utils.aws.waf.py","74","196","22.13%","81","28","131","3","29","34"
"ansible","lib.ansible.module_utils.aws.cloudfront_facts.py","50","234","13.48%","183","25","178","3","24","28"
"ansible","lib.ansible.module_utils.aws.waiters.py","100","328","0.97%","31","2","307","0","3","19"
"ansible","lib.ansible.module_utils.aws.__init__.py","100","0","NA","0","0","0","0","0","0"
"ansible","lib.ansible.module_utils.aws.iam.py","87","46","20.68%","27","5","29","6","6","6"
"ansible","lib.ansible.module_utils.aws.elb_utils.py","81","109","6.81%","49","3","44","36","3","26"
"ansible","lib.ansible.module_utils.aws.urls.py","68","209","17.52%","83","15","97","36","17","61"
"ansible","lib.ansible.module_utils.aws.direct_connect.py","100","84","62.79%","32","27","43","3","27","11"
"ansible","lib.ansible.module_utils.aws.batch.py","70","97","90.90%","34","29","33","18","30","17"
"ansible","lib.ansible.module_utils.aws.elbv2.py","29","764","8.41%","443","36","428","131","36","169"
"ansible","lib.ansible.module_utils.aws.rds.py","36","229","3.66%","170","7","191","0","7","31"
"ansible","lib.ansible.module_utils.common.collections.py","88","41","11.11%","22","5","18","5","2","13"
"ansible","lib.ansible.module_utils.common.process.py","79","43","11.53%","27","3","26","7","3","7"
